"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"42","1","file:/data/kalbeck_2__0016_b.tif","/data/kalbeck_2__0016_b.tif","kalbeck_2__0016_b.tif","Signature","Done","51179975","File","tif","2026-05-20T06:53:17","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"43","1","file:/data/kalbeck_2__0014_b.tif","/data/kalbeck_2__0014_b.tif","kalbeck_2__0014_b.tif","Signature","Done","54256217","File","tif","2026-05-20T06:53:13","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"44","1","file:/data/kalbeck_2__0015_a.tif","/data/kalbeck_2__0015_a.tif","kalbeck_2__0015_a.tif","Signature","Done","55128431","File","tif","2026-05-20T06:53:15","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"45","1","file:/data/kalbeck_2__0013_a.tif","/data/kalbeck_2__0013_a.tif","kalbeck_2__0013_a.tif","Signature","Done","55143123","File","tif","2026-05-20T06:53:11","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"46","1","file:/data/kalbeck_2__0018_a.tif","/data/kalbeck_2__0018_a.tif","kalbeck_2__0018_a.tif","Signature","Done","53555643","File","tif","2026-05-20T06:53:21","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"47","1","file:/data/kalbeck_2__0016_a.tif","/data/kalbeck_2__0016_a.tif","kalbeck_2__0016_a.tif","Signature","Done","52667685","File","tif","2026-05-20T06:53:17","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"48","1","file:/data/kalbeck_2__0013_b.tif","/data/kalbeck_2__0013_b.tif","kalbeck_2__0013_b.tif","Signature","Done","52825413","File","tif","2026-05-20T06:53:11","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"49","1","file:/data/kalbeck_2__0018_b.tif","/data/kalbeck_2__0018_b.tif","kalbeck_2__0018_b.tif","Signature","Done","51813159","File","tif","2026-05-20T06:53:21","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"50","1","file:/data/kalbeck_2__0019_b.tif","/data/kalbeck_2__0019_b.tif","kalbeck_2__0019_b.tif","Signature","Done","53877445","File","tif","2026-05-20T06:53:23","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"51","1","file:/data/kalbeck_2__0021_b.tif","/data/kalbeck_2__0021_b.tif","kalbeck_2__0021_b.tif","Signature","Done","55242497","File","tif","2026-05-20T06:53:27","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
